School,L,W
Akron,12,0
Alabama,2,11
Alabama at Birmingham,5,9
Appalachian State,1,13
Arizona State,5,8
Arizona,8,4
Arkansas State,5,8
Arkansas,10,2
Auburn,4,9
Ball State,7,5
Baylor,3,11
Boise State,2,12
Boston College,7,6
Bowling Green,9,3
Brigham Young,6,7
Buffalo,5,8
Fresno State,8,4
California,5,8
UCLA,8,4
Central Florida,3,10
Central Michigan,6,8
Cincinnati,3,11
Clemson,0,14
Coastal Carolina,7,5
Colorado State,8,4
Colorado,7,5
Connecticut,10,2
Duke,7,5
East Carolina,8,4
Eastern Michigan,7,6
Florida Atlantic,3,11
Florida International,7,6
Florida State,7,6
Florida,2,11
Georgia Southern,6,7
Georgia State,6,7
Georgia Tech,9,3
Georgia,2,12
Hawaii,5,10
Houston,8,4
Illinois,7,6
Indiana,5,8
Iowa State,6,7
Iowa,3,10
Kansas State,5,8
Kansas,9,3
Kent State,6,7
Kentucky,5,8
Liberty,5,8
LSU,0,14
Louisiana Tech,3,10
Louisville,5,8
Marshall,5,8
Maryland,9,3
Massachusetts,11,1
Memphis,2,12
Miami (Ohio),6,8
Miami (Fla.),7,6
Michigan State,6,7
Michigan,4,9
Middle Tennessee,8,4
Minnesota,2,11
Mississippi State,7,6
Mississippi,8,4
Missouri,6,6
North Carolina,6,7
Charlotte,6,7
Nebraska,7,5
Nevada-Las Vegas,8,4
Nevada,6,7
New Mexico State,10,2
New Mexico,10,2
North Carolina State,8,4
North Texas,8,4
Louisiana-Monroe,7,5
Northern Illinois,7,5
Northwestern,9,3
Notre Dame,2,11
Ohio State,1,13
Ohio,6,7
Oklahoma State,5,8
Oklahoma,2,12
Old Dominion,11,1
Oregon State,7,5
Oregon,2,12
Penn State,2,11
Pittsburgh,5,8
Purdue,8,4
Rice,9,3
Rutgers,10,2
San Diego State,3,10
San Jose State,7,5
South Alabama,10,2
South Carolina,8,4
South Florida,8,4
Southern California,5,8
Southern Methodist,3,10
Southern Mississippi,6,7
Texas State,9,3
Louisiana-Lafayette,3,11
Stanford,8,4
Syracuse,7,5
Temple,5,8
Tennessee,5,8
Texas A&M,5,8
Texas Christian,7,5
Texas Tech,8,4
Texas,5,8
Texas-El Paso,11,1
Texas-San Antonio,8,4
Toledo,6,6
Troy,7,5
Tulane,6,7
Tulsa,8,4
Air Force,2,11
Army,8,5
Navy,2,11
Utah State,6,7
Utah,3,11
Vanderbilt,9,3
Virginia Tech,5,8
Virginia,5,9
Wake Forest,5,8
Washington State,7,6
Washington,5,8
West Virginia,7,5
Western Kentucky,4,9
Western Michigan,6,7
Wisconsin,4,10
Wyoming,5,8
